bedrooms,building_size_m2,bathrooms,carports,price_in_rp,floor_count,url,building_age,city,certificate,electricity_power,land_size_m2,property_condition,district,location,description,title
3,200 m²,2,2,Rp 100 Juta/tahun,3,https://www.rumah123.com/properti/jakarta-barat/hor17525177/,,Jakarta Barat,SHM,Lainnya,120 m²,Renovasi Minimum,Duri Kepa,"Duri Kepa, Jakarta Barat","DISEWA  RUMAH 2.5LT DI DURI KEPA, JAKARTA BARAT. 
LUAS TANAH 6X20M2, 
KAMAR TIDUR 3+1
KAMAR MANDI 2+1
LISTRIK 5.500WATT, AIR PAM. 
CARPORT 2 MOBIL. 
HARGA SEWA RP 100JT/TH.
MINIMAL SEWA 2THN.","Disewa Min 2thn, Rumah 2.5lt Di Duri Kepa Uk 6x20m2, Harga Sewa Rp 100jt/th."
3,135 m²,3,1,Rp 75 Juta/tahun,2,https://www.rumah123.com/properti/bandung/hor38892209/,,Bandung,SHM,2200 Watt,100 m²,Bagus,Buah Batu,"Buah Batu, Bandung","DISEWA RUMAH SEMIFURNISHED KOMPLEK CHERRY FIELD BUAHBATU

LT. 100
LB.135
2lt
KT.3+1
KM.3
Air PDAM + Jetpump
Carport 1
Listrik 2200W

Furnish:
R. Tamu (sofa meja + rak buku)
Dapur ( rak + kompor gas + oven + kulkas + microwave )
K. Anak (2 bed)
K. Utama (1bed queen size + meja + rak)

HARGA 75jt/th
Exclude IPL, PDAM


NVI TVS",RUMAH KEREN MINIMALIS MODERN SEMI FURNISHED SIAP HUNI DI CHERRY FIELD BANDUNG
3,131 m²,2,1,Rp 100 Juta/tahun,1,https://www.rumah123.com/properti/jakarta-barat/hor39289549/,,Jakarta Barat,PPJB,3500 Watt,120 m²,Bagus,Metland Puri,"Metland Puri, Jakarta Barat","Disewakan rumah di Riviera, karang tengah, Banten. LT 120 (8x15), LB 131, KT 3+1, KM 2+1, 2 Lantai, listrik 3500. Untuk info lebih lanjut silahkan hubungi :

Donny Tju
0813 8173 1xxx (WA)","Rumah Disewakan Di Riviera, Metland Puri, Jakarta Barat"
4,420 m²,4,4,Rp 500 Juta/tahun,1,https://www.rumah123.com/properti/jakarta-selatan/hor39282024/,,Jakarta Selatan,SHM,16500 Watt,550 m²,Bagus,Kemang,"Kemang, Jakarta Selatan","• Kondisi: Furnished, excellent
• Fasilitas: swimming pool, tiap kamar ada kamar mandi sendiri, service area, garasi dan carport total bisa 6 mobil
• Lingkungan nyaman dan aman
• Bebas banjir
• Minimal sewa 1 tahun
• Pembayaran dimuka
• Harga sewa belum termasuk security deposit, pemakaian listrik, pajak yang berlaku (jika ada)
• Dekat dengan sekolah internasional, rumah sakit, pusat perbelanjaan
• Akses mudah ke TB Simatupang, Gatot Subroto/Kuningan, Antasari/SCBD #227737",Rumah Mewah 1 Lantai Di Kawasan Premium Kemang
3,160 m²,2,2,Rp 90 Juta/tahun,2,https://www.rumah123.com/properti/jakarta-selatan/hor39387281/,,Jakarta Selatan,Lainnya,Lainnya,100 m²,Bagus,Kebayoran Lama,"Kebayoran Lama, Jakarta Selatan","Rumah residence akses jalan 1 mobil (dekat ke akses jalan 2 mobil)
Luas tanah: 100m²
Luas bangunan: 160m²
3+1 Kamar tidur
2 Kamar mandi
Bangunan 2 lantai
Listrik: 3.500 watt
Carport
Teras & Balkon
Lokasi perbatasan Jaksel & Jakbar
Dekat ke Stasiun Kebayoran Lama
Dekat ke Permata Hijau, Pondok Indah, Senayan

Harga sewa: Rp. 90juta/tahun","Rumah Residence Kebayoran Lama Grogol Selatan. Akses Jalan 1 Mobil, Dekat Ke Akses Jalan 2 Mobil. di SDN Grogol Selatan 01, Jl. Raya Kby. Lama, Grogol Selatan, Kebayoran Lama, Kota Jakarta Selatan, DKI Jakarta, Indonesia, 12220, Kebayoran Lama"
4,800 m²,4,,Rp 150 Juta/bulan,,https://www.rumah123.com/properti/jakarta-selatan/hor4074867/,,Jakarta Selatan,Lainnya,Lainnya,750 m²,,SCBD,"SCBD, Jakarta Selatan","Beautiful house in secure area @SCBD Area 
Had 4 bedroom, 4 bathroom and basement, Price USD 9500 per month nego

For details more information please call me",Beautiful House for RENT @Tulodong
5,550 m²,4,,"Rp 42,9 Juta/bulan",,https://www.rumah123.com/properti/jakarta-selatan/hor7964619/,,Jakarta Selatan,Lainnya,Lainnya,880 m²,,Kemang,"Kemang, Jakarta Selatan","Beautiful house in kemang area for expatriat and others, the good location, hommie, safety area, closer to shop, entertainment, school, and many fasilities in Kemang area maintenance house, have a good value to rent and for the price can be negotiable
		
For viewing and other information Please call me","Beautiful house in kemang area ""the price can be negotiable"""
3,72 m²,2,1,Rp 55 Juta/tahun,2,https://www.rumah123.com/properti/tangerang-selatan/hor39402413/,,Tangerang Selatan,SHM,Lainnya,60 m²,Bagus,Serpong,"Serpong, Tangerang Selatan","Sewa : 55.000.000 per tahun
alamat: Cluster Martinez Sumarecon Serpong


Luas bangunan : 72
Luas tanah : 60
Lebar x panjang : 5x12m
Hadap : utara
Jumlah kamar tidur :3
kamar mandi :2
Jumlah lantai: 2
Garasi : ada
Carport: ada
Air : (PDAM )
Daya Listrik : 2200
Sertifikat ( SHM ) : 
Furnish / unfurnish: furnish
Peralatan : *contoh wastafel dll
Harga :
Dispenser, kitcjen set, sofa kecil
Lemari besar, AC 3bh
#CNL",Disewakan Rumah Bagus 2 Lantai 3 Kamar Tidur Di Summarecon Serpong
3,170 m²,2,,Rp 58 Juta/tahun,1,https://www.rumah123.com/properti/tangerang-selatan/hor39452389/,,Tangerang Selatan,SHM,2200 Watt,170 m²,,Ciputat,"Ciputat, Tangerang Selatan","Rumah Disewa Tangerang Selatan Disewakan Rumah di Jalan Alvita, Sawah Baru – Ciputat, Bintaro, Tangerang Selatan

Hunian nyaman dan luas cocok untuk keluarga di kawasan strategis Bintaro – Ciputat.

 Lokasi: Jalan Alvita, Sawah Baru, Ciputat, Bintaro, Tangerang Selatan
 Luas Tanah / Bangunan: 170 m²
 Kamar Tidur: 3
 Kamar Mandi: 2
 Mushola Pribadi
 Dapur & Ruang Makan Terpisah
 Ruang Tamu dan Ruang Keluarga Luas
 Garasi untuk 1 Mobil

 Lokasi strategis dekat pusat perbelanjaan, sekolah, rumah sakit, dan akses tol
 Lingkungan tenang dan aman","rumah dijalan Alvita, Sawah Baru Ciputat, Bintaro, Tangerang Selatan"
3,200 m²,3,1,Rp 135 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor16167478/,,Tangerang,SHM,4400 Watt,160 m²,Bagus,Gading Serpong,"Gading Serpong, Tangerang","Cluster Aquamarine PHG Gading Serpong
Dimensi Tanah 8x20
LT 160
LB 200
KT 3+1 
KM 3+1
Hadap Barat Laut
Listrik 4400
IPL 600rb-700rb
Full Furnish
SHM
135juta/tahun

Note : Tersedia Juli 2025

Hubungi :
Alfons - Gading Pro
08119898xxx
Instagram @alfons.property",Disewakan Rumah Bagus Rapih Siap Huni Cluster Aquamarine Phg Gading Serpong
3,99 m²,3,1,Rp 72 Juta per tahun,2,https://www.rumah123.com/properti/tangerang/hor18085161/,,Tangerang,SHM,2200 Watt,144 m²,Sudah Renovasi,BSD Avani,"BSD Avani, Tangerang","Rumah di Cluster Avani-Anantha
LT/LB 144/99
Kamar Tidur 3+1
Kamar Mandi 3+1

Ready Kitchen set
Ready gordain
Barundi pugar
AC sdh dipasang dikamar utama","Avani Anantha Lokasi Strategis Dekat Aeon Mall,akses Tol, Stadiun"
3,87 m²,2,1,Rp 49 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor19090147/,,Tangerang,SHM,2200 Watt,112 m²,Bagus,BSD The Icon,"BSD The Icon, Tangerang","Hunian nyaman dengan kamar tidur 3+1 di cluster verdant ville icon BSD

Dilengkapi dengan 3 unit AC, gordyn, kitchen set dan canopy
Lokasi strategis. Berdekatan dengan Aeon mall, gedung ICE, unilever, the breeze, eka hospital, kampus atmajaya & prasetya mulya, pasar modern intermoda, stasiun commuter cisauk dan pintu tol",Sewa Dekat Aeon Mall Cluster Verdant Ville Icon Bsd City
4,360 m²,3,2,Rp 125 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor38936552/,,Tangerang,Lainnya,6600 Watt,170 m²,,Alam Sutera,"Alam Sutera, Tangerang","*Disewakan rumah Alam Sutera* 

Lt	. 170
Lb. 360  
Kt.  4 + 1
Km.3 + 1
Listrik	6600 watt
Hdp 	Selatan
Kondisi		: semi furnished (1 set meja makan, lemari pakaian, 3 kamar ada tpt tidur)
AC			: 7
Ada canopi utk 2 mobil, kitchen set, dan gorden

Harga	       :Rp 125 jt/thn
Deposit 25jt

*Vivi - ERA FIESTA BSD*
*081398121xxx*","Disewakan Rumah Partially Furnished Di Alam Sutera, Dekat Sekolah Laurensia"
2,78 m²,2,1,Rp 37 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39337554/,,Tangerang,SHM,2200 Watt,90 m²,Bagus,Lippo Karawaci,"Lippo Karawaci, Tangerang","Berikut beberapa keunggulan Property Taman Ubud Estate Lippo Karawaci:

1. *Lokasi Strategis*: Terletak di Lippo Karawaci, salah satu kawasan bisnis dan hunian terkemuka di Tangerang.
2. *Lingkungan Asri*: Lingkungan yang hijau dan asri, memberikan rasa nyaman dan tenang bagi penghuni.
3. *Fasilitas Lengkap*: Dilengkapi dengan fasilitas lengkap, seperti taman, playground, dan keamanan 24 jam.
4. *Desain Hunian yang Nyaman*: Rumah-rumah di Taman Ubud Estate dirancang untuk memberikan kenyamanan dan kelegaan bagi penghuni.
5. *Akses Mudah*: Akses mudah ke jalan utama dan fasilitas umum, seperti mall, sekolah, dan rumah sakit.
6. *Keamanan yang Terjamin*: Sistem keamanan yang canggih dan personel keamanan yang profesional, memberikan rasa aman bagi penghuni.
7. *Lokasi yang Ideal*: Dekat dengan pusat bisnis, pendidikan, dan fasilitas umum, membuat Taman Ubud Estate menjadi pilihan yang ideal bagi keluarga dan profesional.

Keunggulan-keunggulan ini membuat Taman Ubud Estate Lippo Karawaci menjadi pilihan yang menarik bagi mereka yang ingin memiliki rumah di kawasan yang strategis dan nyaman.",Sewa Rumah Furnished Nyaman Fasilitas Lengkap Di Lippo Karawaci
7,1000 m²,9,,Rp 45 Juta per bulan,,https://www.rumah123.com/properti/jakarta-selatan/hor9832085/,,Jakarta Selatan,Lainnya,Lainnya,700 m²,,Kemang,"Kemang, Jakarta Selatan","House with big backyard and nice pool near to Kemang raya.
Very strategic house for living.

For more information :
Please call Febe 0813 1122 9xxx
Thanks",Luxury house at Kemang
5,277 m²,5,1,Rp 180 Juta/tahun,3,https://www.rumah123.com/properti/tangerang/hor39115458/,,Tangerang,Lainnya,Lainnya,144 m²,Bagus,Alam Sutera,"Alam Sutera, Tangerang","DISEWAKAN RUMAH HOOK BARU – WINONA ALAM SUTERA 
Rumah 3 Lantai, Posisi Hook, Siap Huni!

Cari hunian eksklusif yang luas, modern, dan belum pernah ditempati? Rumah ini jawabannya!
Terletak di kawasan prestisius Winona – Alam Sutera, rumah ini memiliki desain elegan, tata ruang fungsional, dan pencahayaan alami yang maksimal berkat posisi hook-nya.

 Spesifikasi Properti:
• LT: 144 m²
• LB: 277 m²
• 3 Lantai
• 5+1 Kamar Tidur
• 4+1 Kamar Mandi
• Carport: Muat 2 Mobil
• AC 5 Unit
• Dilengkapi Kitchen Set & Kompor

Keunggulan:
✅ Rumah Baru, Rapi, dan Belum Pernah Ditempati
✅ Lokasi Strategis di Alam Sutera
✅ Cocok untuk keluarga besar
✅ Keamanan 24 jam

Harga Sewa: Rp 200 Juta/Tahun (Nego)
Deposit: Rp 50 Juta (Masih Bisa Nego)

Jangan lewatkan kesempatan tinggal di rumah modern dengan kenyamanan ekstra ini!
 Hubungi segera untuk jadwal survei & info lengkap!
Monica
085691400xxx
Era Fiesta Karawaci






















mrlefbw
DV",Rumah Baru Posisi Hook 3 Lantai Siap Huni Di Winona Alam Sutera
2,50 m²,2,1,Rp 33 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39212158/,,Tangerang,Lainnya,2200 Watt,48 m²,Bagus,Gading Serpong,"Gading Serpong, Tangerang","FOR RENT / DISEWAKAN

Rumah Furnished 2 Lantai Siap Huni, Rapi dan bersih di Virginia Village, Gading Serpong. dengan spesifikasi berikut :

Luas Tanah 48 m2 (6x8)
Luas Bangunan 60 m2 
Kamar Tidur 2+1
Kamar Mandi 2+1
Hadap utara
Listrik 2200 watt

Harga 33 jt/th

Lokasi Strategis dekat dengan sekolah tarakanita, mall sms, pusat perkantoran, bisnis dan lainnya. Akses jalan bagus, 2 Jalur. Keamanan 24 Jam Full

Berminat ? Langsung saja hubungi nomor yang tertera di bawah ini :

Hubungi 
Yenny - Exmore Property
0811 998 xxx
TELP/WA/SMS
Terima Titip Jual/ Sewa Properti",Rumah Full Furnished 2 Lt di Virginia Dekat Tarakanita Gading
3,92 m²,2,1,Rp 75 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39379218/,,Tangerang,PPJB,Lainnya,112 m²,Bagus,BSD,"BSD, Tangerang",*Dijual /Disewa,Disewakan rumah furnished eminent bsd city
3,240 m²,2,,Rp 65 Juta/tahun,2,https://www.rumah123.com/properti/jakarta-timur/hor39225338/,,Jakarta Timur,Lainnya,Lainnya,120 m²,Bagus,Jakarta Garden City,"Jakarta Garden City, Jakarta Timur","Rumah di Jakarta Garden City.

Miliki rumah 2 lantai yang modern ini,  disewakan dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di area strategis serta menawarkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian nyaman.

Spesifikasi Utama Properti:

  - Kamar Tidur: 3
  - Kamar Mandi: 2
  - Sertifikat: Lainnya(PPJB, Girik, Adat,dll)
  - Kondisi Perabotan: Unfurnished

Fitur unggulan:

  - Siap Huni.
  - Cocok Untuk Investasi.

Terletak di Jakarta Garden City, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 5.416.667, anda bisa memiliki hunian eksklusif yang sudah siap huni dan bersertifikat Lainnya(PPJB, Girik, Adat,dll). Ambil kesempatan untuk menikmati pengalaman tinggal di kawasan Jakarta Garden City yang nyaman ini!

Hubungi segera untuk informasi lebih lanjut!",disewakan rumah jakarta garden city  siap huni
3,96 m²,2,,Rp 72 Juta/tahun,2,https://www.rumah123.com/properti/jakarta-timur/hor39271509/,,Jakarta Timur,SHM,2200 Watt,116 m²,Bagus,Halim Perdana Kusuma,"Halim Perdana Kusuma, Jakarta Timur","Disewakan rumah dengan 3 kamar tidur dekat dengan Bandara Halim Perdana Kesuma, Jakarta Timur.
Rumah juga bisa disewa untuk kantor (pernah disewa sebagai Lawyer Office).
Listrik token 2200 W
Air PAM
Akses jalan bisa masuk mobil
Carport 2 mobil
Dekat dengan sarana publik seperti sekolah (selangkah dari sekolah unggulan SMAN48), RS, kantor camat, pusdiklat
Dekat TMIi
Dekat mall Tamini Square
Dekat Pintu Toll Jagorawi dan JORR
Dekat dengan sarana transportasi (bandara Halim PK, terminal busway, stasiun LRT, Jaklingko)

Harga sewa 72jt per tahun (nego) #227553","Rumah Dekat Bandara Halim, Jakarta Timur"
3,88 m²,3,1,Rp 35 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39137871/,,Tangerang,SHM,Lainnya,97 m²,Bagus,Karawaci,"Karawaci, Tangerang","Cendana cove

6 x 15

Lt 97.5
Lb 88
Kt 3
Km 3

KOSONGAN

RP 35 juta netto

Adi","Rumah diKontrakan Bagus Karawaci, Tangerang Unfurnished"
4,500 m²,4,,Rp 42 Juta per bulan,,https://www.rumah123.com/properti/jakarta-selatan/hor9811523/,,Jakarta Selatan,Lainnya,Lainnya,650 m²,,Kemang,"Kemang, Jakarta Selatan","Comfortable house in Kemang Dalam area for expatriat and others, the good location, hommie, safety area, close to shop, entertainment, school, and many fasilities in town house area (swimming pool,and sport area) well maintenance house, have a good value to rent and for the price can be negotiable

For viewing and other information Please call Febe : 0813 1122 9xxx",Comfortable house in Kemang Dalam area &#34;negotiable&#34;
3,180 m²,2,1,Rp 110 Juta/tahun,1,https://www.rumah123.com/properti/jakarta-utara/hor39399164/,,Jakarta Utara,SHM,Lainnya,240 m²,Bagus,Kelapa Gading,"Kelapa Gading, Jakarta Utara","Disewakan Rumah 1 lantai hook full furnished

LT 240m2
LB 180m2
KT 3+1
KM 2+1
Carport 1
Garasi 1
4 AC
Kulkas
Kitchen set
Full Furnished
Rumah tinggi dari jalan

Harga 110 jt nego","Rumah Hoek Rapi Bagus Full Furnised,kamar 3 Tinggal Bawa Koper"
3,80 m²,2,1,Rp 35 Juta per tahun,2,https://www.rumah123.com/properti/sidoarjo/hor17186136/,,Sidoarjo,SHM,2200 Watt,60 m²,Baru,Sidoarjo,"Sidoarjo, Sidoarjo","Disewakan Rumah Baru Pondok Tjandra 2 Lantai siap Huni

Spesifikasi:
• Luas Tanah 60 m2 (4x15)
• Luas Bangunan 80 m2 
• Kamar Tidur 3 (2 kamar mandi dalam)
• Kamar Mandi 2+1
• Carport 1 mobil
• Hadap Utara
• Listrik 2200 Watt (Token)
• Tandon Bawah + Pompa
• AC 2 unit
• Water Heater

Seling Point:
• Dekat Pintu masuk Tol Tambak Sumur dan Juanda
• Dekat dengan RS Mitra Keluarga, RS Ibu dan Anak
• Faisilita Perumahan : One gate System, Keamanan 24 jam, Sport Club dan Row jalan 6 meter

Harga Sewa 35 Jt/tahun 

Hubungi :
ITOK / HARIADI  (MVI/MHP)
Xavier Marks Epicentrum
wa.me/6282233206xxx",Disewakan Rumah Baru Pondok Tjandra 2 Lantai Siap Huni
2,305 m²,3,,Rp 160 Juta/tahun,2,https://www.rumah123.com/properti/surabaya/hor18752310/,,Surabaya,Lainnya,1300 Watt,389 m²,,Surabaya Kota,"Surabaya Kota, Surabaya","Lokasi di Jl. Comal no. 29 Keputran, Kecamatan Tegalsari ,Surabaya, Jawa Timur.

Lokasi pendukung :
- Dekat dengan jalan utama
- Rumah Sakit Darmo
- Taman Bungkul
- Wisata Kebun Binatang Surabaya
- Restoran
- Pusat Perbelanjaan
- Hotel
- Dekat dengan Stasiun Wonokromo

Potensi Peruntukan :
- Kantor
- Workshop
- Perdagangan dan Jasa
- Food & Beverage
- Klinik Kecantikan & Kesehatan","Disewakan Rumah 2 Lantai, Jl. Comal Tegalsari Surabaya Kota Dekat Pizza Hut Bungkul"
5,240 m²,2,,Rp 50 Juta per tahun,2,https://www.rumah123.com/properti/surabaya/hor14680844/,,Surabaya,SHM,1300 Watt,120 m²,Sudah Renovasi,kertajaya,"kertajaya, Surabaya","Disewakan rumah 2 lantai di Gubeng Kertajaya

Hanya 3 menit ke Raya Kertajaya
Hanya 5 menit ke Kampus Unair
Hanya 9 menit ke Stasiun Gubeng",Minimalis 2 Lantai Dekat Raya Kertajaya  dan  Univ Airlangga
3,142 m²,3,1,Rp 70 Juta/tahun,2,https://www.rumah123.com/properti/jakarta-utara/hor18703566/,,Jakarta Utara,Hak Sewa,4400 Watt,100 m²,Bagus,Pantai Indah Kapuk 2,"Pantai Indah Kapuk 2, Jakarta Utara","Disewakan Murah Rumah uk. 8x12.5 m2 Milenial City Kosongan Tahunan
PIK 2 Extension 

Tipe 8x12.5 m HOEK
Luas Tanah : 100 m2
Luas Bangunan : 142 m2

2 Lantai
3+1 Kamar Tidur
3+1 Kamar Mandi
1 Car Port
Listrik 4.400 kwh


Harga 70Jt/ Tahun
Deposit 10 Jt
MIN SEWA 2 TAHUN


Siap Survey...
Siap Nego... 

Kami juga menyediakan Unit lain baik Rumah / Apartment Kosongan Atau Furnish Tipe yang tersedia... 
Feel Free to Ask..",Disewakan Rumah Uk 8x12.5 M2 Milenial City Pik 2 Extension Kosongan Murah
