,url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description,market_price_2025,market_price_2023,rent_price_per_year_2025,NOI,cap_rate,property_value_growth,NPV
6547,https://www.rumah123.com/properti/tangerang/hos39416643/,"Murah, Di Alam Sutera, Luas 300 M, 2 Lantai, Siap Huni, Rumah Bagus",6000000000.0,Alam Sutera,Tangerang,5.0,5.0,300.0,400.0,SHM,5500.0,Bagus,2.0,"Dijual cepat dan murah Rumah 2 lantai, bagus, Alam Sutera

Luas tanah : 300m2
Luas bangunan : 400m2
Berapa lantai : 2lt
Kamar tidur : 5 + 1
Kamar mandi : 5 + 1
Listrik : 5.500 w
Hadap : Utara 
Parkir : 2 mbl
Status surat : SHM 
Harga : 6 M nego

hubungi:
Ratna
0811777xxx",6.6795873e+09,5.4715653e+09,1.8439045e+08,1.2907331e+08,2.1512218666666665,0.10488999,499337875.85587025
1197,https://www.rumah123.com/properti/jakarta-selatan/hos38975040/,"Rumah Dalam Komplek Asri Di Pasar Minggu, Lokasi Strategis, Asri",3600000000.0,Pasar Minggu,Jakarta Selatan,6.0,3.0,162.0,300.0,SHM,3300.0,Bagus,2.0,"Rumah dalam Komplek di Pasar Minggu, Lokasi Strategis, Asri


Spesifikasi:
Luas tanah 162m2
Luas bangunan 300m2
6 kamar tidur
3 kamar mandi
Hadap timur
Listrik 3300watt
2 lantai
Line telpon
Air jet pump
SHM
Semi furnished
Water heater
AC
Garasi
Carport
Halaman
Area jemur
Komplek sangat asri cocok untuk keluarga
Ada banyak taman bermain dan jogging track
Lokasi sangat srategis
Dekat dengan stasiun KRL pasar minggu, pasar tradisional
rumah sakit jati padang, sekolah, masjid, dll",4.0368502e+09,3.4508334e+09,1.866252e+08,1.3063764e+08,3.6288233333333335,0.08158171,-329366505.7688546
6357,https://www.rumah123.com/properti/bekasi/hos39335269/,"Perumahan Mewah Lokasi Premium Bekasi Kota, Menawarkan Beragam Tipe Rumah Dengan Desain Modern, Klasik Dan Kontemporer Di Galaxy Bekasi",1160000000.0,Galaxy,Bekasi,3.0,2.0,67.0,67.0,SHM,1300.0,Bagus,2.0,"Perumahan mewah lokasi premium Bekasi Kota, menawarkan beragam tipe rumah dengan desain modern, Klasik dan kontemporer

TYPE Magnolia 3
Luas Tanah 67
Luas Bangunan 67
Kamar tidur 3
Kamar mandi 2
Hadap selatan
Dinding. Hebel
Harga mulai Rp 1.141.000.xxx
khusus Cash keras

Tersedia juga tanah Kavling
Harga mulai 9 juta per m2

FASILITAS LENGKAP
Kolam renang, Taman, Jogging track, Tennis Court, Lapangan Golf, Play Ground, Fitness Center 

DEKAT FASILITAS KESEHATAN
RS Mitra Keluarga, RS St Elisabeth, Siloam

LOKASI STRATEGIS AMAN DAN NYAMAN
Dekat Mall, Pasar Tradisional & Moderen
Dekat akses transportasi Feeder busway, Ankot, LRT
Dekat Sekolah Al Azhar, Marsudirini, Vitory dll
Bandara terdekat Halim PK
Dekat TOL Bekasi Barat

Untuk  info lebih lanjut
Hubungi Segera :
Candra
081398619xxx",7.549021e+08,8.91265e+08,4.7858976e+07,3.3501282e+07,2.888041551724138,-0.07967359,-906064664.9506354
4604,https://www.rumah123.com/properti/bekasi/hos39043940/,Dijual Rumah 2 Lt Dekat Jalan Raya Dalam Cluster Siap Huni Dekat Tol Jatibening,1670000000.0,Jatibening,Bekasi,3.0,2.0,90.0,150.0,SHM,0.0,Bagus,2.0,"Dijual Rumah 2 Lantai Dalam Cluster Siap Huni Dekat Tol Jatibening


Spesifikasi:
- Luas Tanah: 90 m2
- Luas Bangunan: 150 m2
- Kamar Tidur: 3
- Kamar Mandi: 2
- Lantai : 2
- Dapur
- Hadap : Selatan
- Dinding : Bata Merah 
- Sumber Air: Air Tanah
- Listrik: 2200 Watt
- Dibangun tahun 2024
- Legalitas: SHM+IMB+PBB
- Harga Jual: Rp 1.675 M ( Nego Tipis )

Selingpoint :
- Lokasi strategis dekat pusat kota
- Dekat ke fasilitas umum
- Dekat Alfamart, Indomart, dan apotek
- Dekat Tol Jatibening
- Dekat Sekolah Swasta dan Negeri
- Cluster berada di Pinggir Jalan Raya

Anda Berminat Serius & sesuai dengan Budget Anda ? 
Segera Survei -  Booking Unitnya.  
Hubungi Kami :     
Desynci GMP property  
0857 1408 2xxx 


endah",1.321752e+09,1.2503503e+09,6.4836736e+07,4.5385716e+07,2.7177075449101795,0.02815628,-740180481.0895451
5266,https://www.rumah123.com/properti/jakarta-selatan/hos39237947/,Jual Rumah Baru Pondok Pinang Jakarta Selatan,3950000000.0,Kebayoran Lama,Jakarta Selatan,5.0,3.0,161.0,180.0,SHM,0.0,Bagus,2.0,Dijual rumah baru design modern contemporer dengan akses strategis 5 menit pondok indah dan 10 menit bintaro,3.4978831e+09,2.893129e+09,1.478429e+08,1.03490024e+08,2.6200006075949367,0.099559546,166388767.87063646
2771,https://www.rumah123.com/properti/bogor/hos39295314/,Rumah SHM 2 Lt Hadap Selatan Siap KPR 15 Menit ke Cibinong City Mall J21515,840000000.0,Cibinong,Bogor,2.0,1.0,104.0,75.0,SHM,1300.0,Bagus,2.0,"Perumahan Acropolis Karadenan
Cibinong - Kabupaten Bogor

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 104
LB 36
2 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
2 Menit ke SD N Karadenan 1
7 Menit ke SMP N 3 Cibinong
10 Menit ke SD N Cilebut 1
10 Menit ke SMA N 3 Cibinong
30 Menit ke Univ Pakuan

10 Menit ke Pasar Gaperi Bojonggede
15 Menit ke Vivo Mall Sentul
15 Menit ke Cibinong City Mall
20 Menit ke Pasar Ciluar
25 Menit ke Bogor Square

5 Menit ke Puskesmas Karadenan
15 Menit ke Puskesmas Cilebut
15 Menit ke RS Harapan Sehati
15 Menit ke RS U Cibinong
20 Menit ke RS Islam

10 Menit ke Stasiun Cilebut
15 Menit ke Stassiun Bojong Gede
20 Menit ke Gerbang Toll Sentul 2
20 Menit ke Gerbang Toll Sentul Selatan
30 Menit ke Gerbang Tol Citeureup

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",8.2700666e+08,1.0157233e+09,3.2615888e+07,2.2831122e+07,2.717990714285714,-0.0976671,-683926506.8260919
6633,https://www.rumah123.com/properti/jakarta-barat/hos39337147/,Rumah Luas Siap Huni 2lt Lebar Jalan 3mobil Duri Kepa Jakarta Barat,11000000000.0,Duri Kepa,Jakarta Barat,8.0,5.0,325.0,305.0,SHM,0.0,Bagus,2.0,"Rumah Full Furnish luas row jalan boulevard, Duri Kepa, Jakarta Barat
SHM 
Lt 325
Uk 14 x 25
2 lt 
Lb 305
5+3KT
Hadap selatan 
Listrik 7700w
Air PAM
Garasi 2 mobil 
Carport 1 mobil
Row 3 mobil
*Jual 11M* nego, KPR bisa dibantu
Agen properti spesialis Duri Kepa Jakarta Barat dan selitarnya
menerima titip jual beli properti kami bantu pasarkan secara profesional dan maksimal. Gratis! 

Video Follow Instagram: 
@jaqualine_property

JUAL • BELI • KPR • INVESTASI • JOIN PROPERTI",5.9625395e+09,3.9559247e+09,1.4873498e+08,1.0411448e+08,0.9464952727272726,0.2276982,22173256513.94162
1335,https://www.rumah123.com/properti/bogor/hos19503228/,Rumah Baru Modern 2 Lantai 5min Jalan Raya Parung Jakarta Bogor,915000000.0,Ciawi,Bogor,3.0,3.0,90.0,88.0,Lainnya,0.0,Bagus,2.0,"Lokasi : Jalan Avoria Estate
Akses : Tol Jagorawi - BORR - Desari

Dekat Jalan Raya Parung Jakarta-Bogor
Dekat RS Sentosa
Dekat Pasar Induk Kemang Bogor
Dekat Marcopolo Water Park
Dekat Transmart Yasmin Bogor
Dekat Tol Lingkar Bogor
Dekat IPB University
Dekat AEON Mall Sentul
Dekat Kawasan Sentul
Dekat Stasiun KRL Cilebut
Dekat Kota Bogor

Kami dari rumahbaru Bogor Raya
Spesialis area:
- Bogor Raya
- Summarecon Bogor
- Sentul City
- Bogor Nirwana Residence
- Bogor Selatan
- Bogor Barat
- Sukaraja

Untuk kunjungan ke show unit, promo dan cara bayar, kamu dapat menghubungi agent pemasaran rumahbaru.co

Bisa proses KPR Bank kamu, kami bantu pengajuannya sampai Approved

| rumahbaruco®️ |
Jual | Beli | Sewa | KPR Specialist
teman cari rumahbaru",2.0136559e+09,1.1310764e+09,5.355812e+07,3.7490684e+07,4.097342513661202,0.33427906,5460002288.504628
3038,https://www.rumah123.com/properti/jakarta-selatan/hos18535482/,Rumah 2 Lantai Shm Siap Huni Komplek Cirendeu Harga Tebaik Nego Sampai Deal,2500000000.0,Cirendeu,Jakarta Selatan,4.0,3.0,240.0,200.0,SHM,2200.0,Bagus,2.0,"Dijual Rumah Sangat Terawat Dalam Komplek  Cirendeu wajib di beli dan survey
Rumah ini berada dalam komplek yang nyaman banget masuk langsung daei jalan raya cirendeu pondok cabe. Ngga perlu masuk keluar gang.

Rumah nyaman ini sangat siap huni bisa dibeli dengan furnish atau nonfurnish . Layout ruangan  nyaman dan sangat mudah  ditata.  

Bagi anda yang sedang mencari rumah di lingkungan yang bagus rumah ini wajib untuk di survey 

Luas tanah 240
Luas bangunan 200
Kamar tidur 4 plus 1
Kamar mandi 3 plus 1
Garasi 2 dan carport

Harga 2,5m nego 

Segera hubungi
Maria
081293699xxx
087888825xxx

#dijualrumah #jualrumah #dijualrumahcirendeu #jualrumahcirendeu #dijualrumahkomplekcirendeu #jualrumahkomplekcirendeu #dijualrumahmewahcirendeu #jualrumahmewahcirendeu #dijualrumahpondokcabe #jualrumahpondokcabe",3.5376438e+09,3.6944445e+09,1.526841e+08,1.0687886e+08,4.275154560000001,-0.021451235,-1535900478.095971
6148,https://www.rumah123.com/properti/tangerang/hos39341945/,Rumah SHM LT 155 Siap KPR 15 Menit ke Terminal BSD J27823,1000000000.0,BSD,Tangerang,3.0,2.0,155.0,90.0,SHM,2200.0,Bagus,1.0,"Jalan Kavling Pondok Raya
Pamulang - Kota Tangerang Selatan

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 155
LB 90
1 Lantai
3 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
5 Menit ke SD Muhammadiyah 03 Kreatif Tangsel
5 Menit ke SMP MUHAMMADIYAH PARAKAN
6 Menit ke Madrasah Ibtidaiyah As Salaamah
6 Menit ke Sekolah Dasar Negeri Parakan
7 Menit ke Sekolah Dasar Seruni Putih
8 Menit ke SMP NEGERI 18 TANGERANG SELATAN
8 Menit ke Sekolah Taruna Mandiri
10 Menit ke SMA Negeri 3 Kota Tangerang Selatan

10 Menit ke Pasar Bukit Pamulang Dua
20 Menit ke Mall Paradise Walk Serpong
25 Menit ke Bintaro Jaya Xchange Mall
25 Menit ke ITC BSD City
30 Menit ke The Breeze BSD City

9 Menit ke Puskesmas Pondok Benda
10 Menit ke RSIA Vitalaya
10 Menit ke RSIA. Buah Hati Pamulang
10 Menit ke RS.Permata Pamulang
15 Menit ke Puskesmas Benda Baru
20 Menit ke RSU Hermina Serpong

15 Menit ke Terminal BSD
20 Menit ke Gerbang Tol Serpong 2
20 Menit ke Gerbang Tol Serpong 6
25 Menit ke Stasiun Jurang Mangu
25 Menit ke Stasiun Rawa Buntu
25 Menit ke Stasiun Sudimara
30 Menit ke Gerbang Tol Serpong 3
30 Menit ke Gerbang Tol Serpong 4
30 Menit ke Stasiun Serpong


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.6387745e+09,1.6114272e+09,5.7260904e+07,4.008263e+07,4.0082632,0.008449793,-510053340.5623381
6177,https://www.rumah123.com/properti/jakarta-utara/hos19501237/,Rumah Siap Huni Katamaran Pik Lokasi Bagus,8000000000.0,Pantai Indah Kapuk,Jakarta Utara,4.0,4.0,200.0,300.0,SHM,0.0,Sudah Renovasi,2.0,"wenny 0812 9721 9xxx 
rumah siap huni
Katamaran pik
8x25
2.5 lantai
Renov
4+1kmkt
Shm
8m negoo sampe deal",7.6746496e+09,5.343328e+09,2.4933422e+08,1.7453395e+08,2.1816744,0.1984595,11160946120.082794
864,https://www.rumah123.com/properti/depok/hos39352180/,Rumah Luas Baru Renov di Depok Akses Dekat Terminal Dibantu KPR J-30583,850000000.0,Cipayung,Depok,2.0,1.0,130.0,45.0,SHM,0.0,Bagus,1.0,"Villa Rizki Ilhami 2
Bojongsari - Kota Depok

SHM
LT 130
LB 45
1 Lantai
2 Kamar Tidur
1 Kamar Mandi

Fasilitas Sekitar Hunian:
20 menit ke SMA Negeri 6 Depok
25 menit ke Sekolah Dasar Negeri Rawadenok
25 menit ke Sekolah Dasar Negeri Krukut 1
30 menit ke SD Negeri Ciganjur 01 Pagi
30 menit ke SD Negeri Ciledug Barat
30 menit ke SMP Perintis Depok

10 menit ke The Park Sawangan
20 menit ke Pasar Kota Pondok Cabe
35 menit ke Mall Paradise Walk Serpong
35 menit ke Pasar Kemiri
35 menit ke TUMARITIS Pasar Tradisional

25 menit ke Rumah Sakit Sari Asih Ciputat
25 menit ke UPTD PUSKESMAS CIPAYUNG DEPOK
30 menit ke UPTD Puskesmas Cinere
35 menit ke RSU Andhika
35 menit ke Rumah Sakit Umum Zahirah

10 menit ke Terminal Bus Parung
10 menit ke Terminal Sawangan
20 menit ke Gerbang Tol Limo Utama
25 menit ke Gerbang Tol Brigif 4
25 menit ke Gerbang Tol Limo 1
25 menit ke Gerbang Tol Brigif 1
30 menit ke Stasiun Depok Baru
35 menit ke Stasiun Pondok Cina

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",6.188054e+08,6.525897e+08,3.4325412e+07,2.4027788e+07,2.826798588235294,-0.026228786,-556478991.9897388
2350,https://www.rumah123.com/properti/bekasi/hos39186458/,"Rumah Mewah gaya Mediterania ala Mexico Bangunan Premium di Jatibening Baru, Bekasi",6500000000.0,Jatibening,Bekasi,3.0,3.0,530.0,28.0,SHM,0.0,Bagus,2.0,"Dijual rumah mewah bangunan terawat di Jatibening Baru, Pondok Gede, Bekasi

Spesifikasi:
Tanah ada 2 surat
SHM seluas 365m²
AJB seluas 155m²
Total luas tanah 530m²
Luas bangunan 280m²
3 kamar tidur
1 kamar pembantu
1 pavilion 
3 kamar mandi
Garasi/Carport 6 mobil
Air PAM & Jetpump
Listrik 11.000watt
Hadap Selatan
Ada 2 taman didalam rumah. 
Bagunan thn 1996, msh sangat terawat & baru dicat. 
Rumah dirancang dgn gaya Mediterania ala Mexico yang memberikan nuasa hangat, artistik dan sangat berkarakter. 
Bangunan kokoh dgn menggunakan material premium
Lantai keramik & marmer
#JFGX 105436

Harga 6,5M (nego) 

Point Selling:
Tdk banjir
Lokasi sangat strategis
Lingkungan aman & nyaman
10mnt ke Tol Jatibening
10mnt ke LRT Cikunir 1

Info & Survey
Hub Jeffry
Asia One Galaxy
WA 0818•690•671",3.6206595e+09,1.2827707e+09,1.29321064e+08,9.0524744e+07,1.3926883692307692,0.6800388,442590425411.1482
5961,https://www.rumah123.com/properti/bogor/hos39328856/,Rumah SHM Hadap Selatan 18 menit ke Cibinong City Mall Dibantu KPR J26848,795000000.0,Cibinong,Bogor,2.0,2.0,84.0,57.0,SHM,1300.0,Bagus,1.0,"Griya Melati Mas
Cilodong - Kota Depok

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 84
LB 57
1 Lantai
2 Kamar Tidur
1 Kamar Pembantu
2 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
7 menit ke YAYASAN AL FALAH
8 menit ke SMP Negeri 6 Depok
10 menit ke SD Khairiyah
10 menit ke SDN Kalibaru 6
10 menit ke Sekolah Dasar Islam Al-Azhar 46

4 menit ke Pasar Pucung
10 menit ke Pasar Induk Cikema
17 menit ke Cibinong square
18 menit ke Cibinong City Mall

5 menit ke UPT. Puskesmas Cilodong
5 menit ke UPTD Puskesmas Kalimulya
10 menit ke RS Citra Medika
10 menit ke Puskesmas Harapan Jaya
15 menit ke RSUD Cibinong
15 menit ke RS Trimitra

4 menit ke Terminal Kampung Sawah
10 menit ke Stasiun Cibinong
15 menit ke Stasiun Depok
25 menit ke Gerbang Tol Gunung Putri
25 menit ke Stasiun Citayam
30 menit ke Gerbang Tol Citeureup 1

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",7.479324e+08,7.612772e+08,3.069138e+07,2.1483966e+07,2.7023856603773586,-0.008803487,-476613249.53996253
6571,https://www.rumah123.com/properti/tangerang/hos39330218/,Rumah Baru Renov 15 Menit ke Stasiun Rawa Buntu 2 Lt Hadap Utara J-28524,970000000.0,BSD City,Tangerang,3.0,3.0,72.0,55.0,Lainnya,2200.0,Bagus,2.0,"Serpong Jaya Cluster The Spring
Serpong - Kota Tangerang Selatan

Hanya PPJB/PJB/KJB
LT 72
LB 55
2 Lantai
3 Kamar Tidur
3 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
7 menit ke SDN 01 Ciledug Tengah
7 menit ke SMPN 8 Tangerang Selatan
15 menit ke SMPN 18 Tangerang Selatan
15 menit ke SMAN 3 Tangerang Selatan
15 menit ke SMAN 6 Tangerang Selatan
15 menit ke Universitas Pamulang

10 menit ke RSU Hermina Serpong
15 menit ke RSUD Tangerang Selatan

7 menit ke Mall Paradise Walk Serpong
10 menit ke Pamulang Square
30 menit ke Aeon Mall BSD

20 menit ke Stasiun Serpong
15 menit dari Gerbang TOL Serpong 5 (Akses TOL Serpong - Cinere)
20 menit dari Gerbang TOL Serpong 2 (Akses TOL Serpong - Jakarta)

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.3675144e+09,1.1143055e+09,6.714478e+07,4.7001348e+07,4.845499793814433,0.107806206,153814830.14409876
1397,https://www.rumah123.com/properti/jakarta-timur/hos19059173/,Rumah Dekat Rs Persahabatan Di Cipinang Rawamangun,2500000000.0,Rawamangun,Jakarta Timur,3.0,3.0,84.0,110.0,SHM,3500.0,Baru,2.0,"Di Jual Rumah Dekat Tol Rawamangun,  Rs.Persahabatan dan Golf Rawamangun dalam Cluster Area Cipinang Rawamangun

LT : 84m2 
LB : 110m2
Harga 2,5M

LT : 98m2 
LB : 130m2
Harga 2,6M

LT : 104m2 
LB : 150m2
Harga 2,7M

Kamar tidur : 3+1
Kamar mandi : 3 + 1
Listrik : 3500
Air : Jetpump
Carpot : 2 Mobil
Hadap : Utara 
Akses 2 Mobil
Include Water Heater 1 unit

Sertifikat SHM dan IMB

Selling point :

Dekat pasar swalayan modern dan tradisional 
Dekat pusat perkantoran 
Dekat terminal Ramangun
Stasiun LRT 
Dekat Sekolah Negeri dan Swasta Unggulan ( Al-Azhar, Labschool) 
Dekat tempat ibadah (Masjid, Gereja, Pura) 
Dekat Rumah Sakit Persahabatan
Dekat pusat perbelanjaan 
Dekat pusat kuliner
Lokasi Tenang dan Nyaman 

serius berminat segera hub kami: Adis
Marini
galaxy media property, WA: 0813.99.96.80.66.dod",2.6367626e+09,2.1827282e+09,7.77105e+07,5.4397348e+07,2.17589392,0.09909618,75291775.01993036
4316,https://www.rumah123.com/properti/jakarta-selatan/hos18991109/,Rumah Mewah Lux Classic Victorian Elegant 3 Lantai Jagakarsa,2300000000.0,Jagakarsa,Jakarta Selatan,3.0,4.0,83.0,210.0,SHM,3500.0,Baru,3.0,"RUMAH MEWAH LUX CLASSIC VICTORIAN  ELEGANT 3 LANTAI SPLIT LEVEL ROOFTOP DALAM CLUSTER AKSES STRATEGIS 

Lokasi : m Kahfi 1 Jagakarsa Jakarta Selatan

Luas tanah 83m2
Luas bangunan 210m2
Kamar tidur 3+1
Kamar mandi 4+1
SHM,IMB,PBB

Harga  : 2.650 M ==> 2.3M Negotiable

LANTAI 1
- Carport 2 Mobil 
- Teras Depan
- Ruang Tamu/ R Keluarga
- Ruang Makan
- Kamar Tidur Tamu
- kamar Mandi Tamu
- Dapur 
- Taman Kolam Area Belakang     

LANTAI 2
- Kamar Tidur Utama + Kamar mandi Bath Tub + Shower
- Kamar Tidur Anak
- Kamar Mandi Anak
- Balkon Area Depan 
- Balkon Area Belakang
- Ruang Tengah

FULL 3 LANTAI
- Lantai Roof Top yg Luas 
- Kamar tidur 1
- Kamar Mandi 1+1
- Ruang Entertaine
- Ruang Areal Service 
- Dapur Bar
- Balkon

SPESIFIKASI :
- Listrik 3500 watt 
- Granit Kamar Mandi  Roman, Essenza
- Granit Dinding + Lantai Kamar mandi 60 x 60 cm
- Sanitair Toto Closet duduk
- Relling tangga besi 
- Pintu + Kusen Kayu Oven Kamper Samerinda Di Duco
- Jendela Alumunium
- Carport Batu Andesit 
- Full Bata Merah
- Genteng",2.5209306e+09,3.084805e+09,1.6435787e+08,1.1505051e+08,5.002196173913044,-0.09600389,-1774276599.191369
6152,https://www.rumah123.com/properti/jakarta-utara/hos19106661/,Ga Ada Lagi Rumah Griya Inti Sentosa Jalanan Utama Langka,7900000000.0,Sunter,Jakarta Utara,4.0,3.0,200.0,300.0,SHM,4400.0,Butuh Renovasi,3.0,"Griya Inti Sentosa 
luas 10x20 jalanan utama 
bangunan tinggal finishing 
siap dibangun 
kontak Henny 087880896xxx",5.9727954e+09,5.992319e+09,1.4427302e+08,1.0099111e+08,1.278368506329114,-0.0016303658,-4725725114.259964
5561,https://www.rumah123.com/properti/depok/hos18757454/,Rumah 2 Lantai Tanpa Dp Siap Huni Tanah Luas Faslitas Exclusive.,889000000.0,Sawangan,Depok,3.0,2.0,90.0,62.0,SHM,2200.0,Baru,2.0,"Cluster Exclusive 2 Lantai Tanpa DP, Selangkah ke Jalan Utama 

PROMO !

DP 0%
Free BPHTB
Free Biaya AJB
Free Biaya Balik Nama
Free Biaya KPR

Type Rumah

Luas Tanah : 90 - 177 m2
Luas Bangunan : 62-  72m2

Kamar Tidur : 3
Kamar Mandi : 2
Listrik : 2200
Carport 2 Mobil


Harga Start 989 juta an


SHM IMB LENGKAP


Fasilitas Dalam Cluster :
Security 24 Jam
One Gate System

Lokasi Strategis :
Dekat Pusat Rekreasi Situ Cilodong 
15 Menit Exit  Tol Cimanggis2 
15 Menit Stasiun Depok lama 
10 Menit RS Hermina Depok 
10 Menit Ke Tip-Top Depok
15 Menit Ke ITC Depok 
20 Menit ke Margo City Depok
15  Menit  Cibinong City Mall
10  Menit Ke Pasar Cibinong 
10 Menit ke Terminal Jatijajar 
15 Menit Terminal Depok
25 Menit ke Kampus UI Depok
15 Menit ke Mall Pesona Square Depok
5 Menit Mall Depok lama

Specs :
Lantai : Granit 60 x 60
Dinding : Bata Ringan Double Dinding
Kusen : Alumunium
Pintu : Panel Solid
Rangka Atap : Baja Ringan
Plafon : Gypsum

BEBAS BANJIR DAN DILALUI ANGKOT",1.1050583e+09,9.900371e+08,4.0109276e+07,2.8076492e+07,3.1582105736782906,0.05649352,-245771847.02093422
371,https://www.rumah123.com/properti/depok/hos38949628/,Rumah Minimalis Hook Dekat Terminal Pondok Cabe 1 Lt Siap Huni J-30250,460000000.0,Sawangan,Depok,2.0,1.0,75.0,36.0,SHM,1300.0,Bagus,1.0,"Kemang Raya Residence
SAWANGAN - KOTA DEPOK

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 75
LB 36
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
3 Menit ke SMP Islam Hidayatul Ihsan
4 Menit ke Sekolah Dasar Negeri Pasirputih 02
6 Menit ke Sekolah Dasar Islam Terpadu-Bina Mulia
6 Menit ke Sekolah Dasar Negeri Pasir Putih 01
6 Menit ke SMP Bina Mulia
7 Menit ke SMP Bina Insan Cendikia
7 Menit ke Sekolah Dasar Negeri Bedahan 04
8 Menit ke Sekolah Dasar Negeri Bedahan 02
9 Menit ke SMA Negeri 12 Depok
15 Menit ke SMA - SMK Yapan Indonesia

15 Menit ke Pasar Citayam
25 Menit ke DTC (Depok Town Center)
25 Menit ke The Park Sawangan
30 Menit ke D'Mall Depok
35 Menit ke Mall Pesona Square

5 Menit ke UPTD Puskesmas Pasir Putih
15 Menit ke RS Permata Depok
15 Menit ke UPTD Puskesmas Sawangan
20 Menit ke Rumah Sakit Citra Arafiq Sawangan

15 Menit ke Terminal Sawangan
15 Menit ke Terminal Dan Stasiun Citayam
25 Menit ke Terminal Parung
30 Menit ke Gerbang Tol Kukusan 3
30 Menit ke Gerbang Tol Kukusan 4
30 Menit ke Stasiun Depok
40 Menit ke Terminal Kampung Sawah
40 Menit ke Gerbang Toll Limo 1


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",5.345385e+08,5.3463536e+08,2.2330648e+07,1.5631453e+07,3.3981419565217394,-9.059906e-05,-255294176.7914615
5781,https://www.rumah123.com/properti/bogor/hos39293393/,Rumah SHM 1 Lantai 8 menit ke Gerbang Tol Karanggan Dibantu KPR J-19616,1280000000.0,Kota Wisata,Bogor,2.0,1.0,72.0,45.0,SHM,1300.0,Bagus,1.0,"Podomoro Golf View
Gunung Putri - Kabupaten Bogor

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 72
LB 45
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
9 menit ke Sekolah Menengah Atas Islam Darussalam
10 menit ke SMAN 7 Depok
10 menit ke SMP Muhammadiyah Cisalak
15 menit ke SMA TUBAGUS PANGELING
20 menit ke SD Islam Plus Cahaya Insan
20 menit ke SD Negeri Mekar Jaya 12
20 menit ke SD Negeri Mekar Jaya 11
25 menit ke SD Negeri Sukamaju 3 Cilodong

15 menit ke Mall Pesona Square
15 menit ke Pasar Bodas
15 menit ke Pasar Sukatani
20 menit ke Pasar Induk Cikema
25 menit ke Cibinong square

4 menit ke UPTD Puskesmas Tapos
10 menit ke Puskesmas Bojong Nangka
10 menit ke RSUD Anugerah Sehat Afiat
15 menit ke Rumah Sakit Simpangan Depok
15 menit ke UPF Puskesmas Cilangkap

2 menit ke Gerbang Tol Cimanggis
7 menit ke Terminal Leuwinanggung
8 menit ke Gerbang Tol Karanggan
8 menit ke Gerbang Tol Gunung Putri
8 menit ke Stasiun Harjamukti
10 menit ke Gerbang Tol Cimanggis 5
15 menit ke Stasiun Nambo
20 menit ke Stasiun Cibinong
20 menit ke Terminal Pusat Jatijajar Depok

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",5.870734e+08,5.597365e+08,2.2241932e+07,1.5569352e+07,1.216355625,0.024128318,-626228670.5036833
